Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
"Nēɣ͕əŋ mā, tumiŋ mā kinsuŋkwe ēri",0,A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 Juw-minu̮ŋkwe ēri,0,A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 - Minuŋkwe naŋən χuńt rɔu̯s,0,A,AV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" Akw χɔ̄tɒlı̮ɣ jēmtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 tuijiɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 kȯl wāruŋkwe ti ēri,0,A,AV,ti,npst,ind,none,npfv,,,,,,,,,,,,,,
" tɔtnūw̯ ɔ̄li, ",0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
kiwərn wāɣawe,X,P,V,NoPtcl,npst,ind,none,pfv,,,,,,,,,,,,,,
 ēt kȯtlijiɣ jēmtəs - ,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
ė̄t'ijiɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" Ēt kȯt'l'iɣ jēmtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ēt kot'l'iɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ak nakı̮ɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 tau̯ χujnēte sis alpəlı̮ɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ēt'ijiɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" alpəlı̮ɣ jemtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" ak mat nakı̮ɣ, ak mat artı̮ɣ jēmtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" ak mat nakı̮ɣ jēmtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" Ak nakı̮ɣ jēmtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" - naŋ tuł'al, pajal χɔltı̮ɣlawes",0,P,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 Jun suiti,0,A,V,NoPtcl,npst,ind,none,pfv,,,,,,,,,,,,,,
" Itiɧ jemtьs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 Holitanьɧ jemtьs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
"Jaɧaite jeɧpiɧe jot, olaŋke at-rovi.",0,A,AV,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
 Tьh{i}maɧs menamen akjot olaŋkv at rovi.,0,A,AV,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
aꞩarma<ı̮>ɧ <ē>mtaŋke pats,0,A,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
tojaɧ j<ē>mtaŋkv pats,0,A,PV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
elamholas o[ɔ̄]lnete h<ŭ>ripa,0,A,AV,NoPtcl,npst,evid,none,npfv,,,,,,,,,,,,,,
"<ē>riŋ <ō>s <ō>li.""",0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
"n̩avremt <ō>s <ē>ri sunsaŋk[v]e,",0,A,PV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
"<ē>riŋ <ō>s <ō>li.""",0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
v<ō>rt<ō>lnut <ā>ɧь l̩<ă>pan at r<ō>vi.,0,A,V,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
kit h<ō>tal <ō>ls,0,A,AV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" anum matər mā, akw̯ toχ ɔ̄li",0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 ètimɒs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" ūnlimenəl mȯꞩ tūp ėtimɒs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" ėtimɒs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 - manki ńɔ̄wl'uu̯tal at ɔ̄lχati!,0,A,V,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
" - nēn ērəŋ ɔ̄lxati,",0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
" am taχ amki luu̯, amki ńɔwəl'tal at ɔ̄lχati",0,A,V,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
" ań ėtimɒs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ėtimɒs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 χolitanı̮ɣ ı̯ēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ta χɔ̄tɒlɒs,0,A,V,ta,pst,ind,none,pfv,,,,,,,,,,,,,,
 ētimɒs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ti χɔ̄tɒlɒs,0,A,V,ti,pst,ind,none,pfv,,,,,,,,,,,,,,
 ètimɒs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 touli,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 touli,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 nila talьɧ ul pьl jemtьs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 Touli,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 Kotil̩ akitenьl manьr vovuŋkve eri? ,0,A,AV,NoPtcl,npst,ind,quest,npfv,,,,,,,,,,,,,,
 man̩ akitenьl os manьr vovuŋkve eri? ,0,A,AV,NoPtcl,npst,ind,quest,npfv,,,,,,,,,,,,,,
 Luv neɧne aŋkvalas kotle pasьl luvtene sulьl sosime,X,P,V,NoPtcl,pst,evid,none,pfv,,,,,,,,,,,,,,
"ētimɒs, ",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
ɔ̄ńꞩuŋkwe aman at rɔ̄wi? ,0,A,AV,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
"ı̯un, kȯl kiwərn tūluŋkwe ꞩar at rɔ̄wi!",0,A,AV,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
" ı̯ȯmɒꞩakwe pēuɣuŋkwe ēri,",0,A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 tāraŋı̮ɣ pati,0,A,V,NoPtcl,npst,ind,none,pfv,,,,,,,,,,,,,,
 χɔ̄tı̯utna ɔ̄ńꞩuŋkwe rɔ̄wi,0,A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
"rɔ̄wi tuwəl anŭm,",0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 anum rɔ̄wi,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
“am at mineɣum”,0,A,AV,NoPtcl,npst,ind,neg,pfv,,,,,,,,,,,,,,
 tɔχ ɔ̄limanəl ūujjuɣ jēmtəs. ,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
ı̯a ètimaŋkwe ti pats.,0,A,PV,ti,pst,ind,none,pfv,,,,,,,,,,,,,,
pal'a asanenəl nas ꞩuu̯ɣeɣt!,0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
akw ērt ta χɔ̄tɒlɒ:s.,0,A,V,ta,pst,ind,none,pfv,,,,,,,,,,,,,,
lāwi:,0,A,V,NoPtcl,npst,ind,none,pfv,,,,,,,,,,,,,,
"at rɔ̄u̯i, lāwi, ",0,A,V,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
"χolitanı̮ɣ ı̯ēmtəs,  ",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
"χolitanı̮ɣ ı̯ēmtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
nemat piꞩum at ārtmi.,0,A,V,NoPtcl,npst,ind,neg,npfv,,,,,,,,,,,,,,
kinsuŋkwe ta patsət,0,A,V,ta,pst,ind,none,pfv,,,,,,,,,,,,,,
