,No,Trans,Form,W-ord,Tns,Mood,SenT,Pfv,Ptcl,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
СЕМЬ МЕНКВОВ,0,,,,,,,,,,,,,,,,,,,,,,
mēŋwət akw χum saŋkwəlti.,1,X,A,AV,npst,ind,,npfv,,H,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
"lawn, name ı̯anı̮ɣ mań pı̮ɣ1",2,,,,,,,,,,,,,,,,,,,,,,
kit wɔ̄r χum2 ɔ̄leı̮ɣ.,3,0,A,AV,npst,ind,,npfv,,H,du,barenp,ref,sp,uniq,nfam,,,,,,,
wɔ̄rn minası̮ɣ.,4,0,A,V,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,,,,,,,
akw mat ńɔχs χāŋχtuwes.,5,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ńɔ̄χsēn alası̮ɣ.,6,1,A,PV,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,A,sg,possnp,top,sp,uniq,strg
alastēn.,7,1,AP,V,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔ̄s ta minası̮ɣ.,8,0,A,V,pst,ind,,pfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
akw māt ɔ̄s ńɔ̄χs χāŋχtuwes.,9,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alastēn.,10,1,AP,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔ̄s ta minası̮ɣ.,11,0,A,V,pst,ind,,pfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
akw māt ɔ̄s nɔχs χāŋχtuwes.,12,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alastēn.,13,1,AP,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔs ta minası̮ɣ (2),14,0,A,V,pst,ind,,pfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s nɔ̄χs χāŋχtuwes,15,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alastēn.,16,1,AP,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ań ńila ńɔχs ti alası̮ɣ.,17,1,A,PV,pst,ind,,pfv,ti,H,du,zero,top,sp,uniq,strg,A,pl,barenp,act,sp,max,strg
ɔ̄s minası̮ɣ.,18,0,A,V,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s ńɔχs χāŋχtuwes.,19,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alası̮ɣ.,20,X,A,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
ɔ̄s ta minası̮ɣ,21,0,A,V,pst,ind,,pfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s ta nɔχs χāŋχtuwes.,22,X,P,PV,pst,ind,,pfv,ta+,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s ta alası̮ɣ.,23,X,A,V,pst,ind,,pfv,ta+,H,du,zero,act,sp,uniq,strg,,,,,,,
ɔ̄s minası̮ɣ,24,0,A,V,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,,,,,,,
akw mat ɔ̄s ńɔχs χāŋχtuwes.,25,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alası̮ɣ.,26,X,A,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
ālası̮ɣ saka sēməl.,27,1,A,VP,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,A,sg,barenp,act,sp,uniq,strg
soma nas ꞩulɣi.,28,0,A,V,npst,ind,,npfv,,A,sg,zero,top,sp,uniq,strg,,,,,,,
ı̯a ètimaŋkwe ti pats.,29,0,INF-A,PV,pst,ind,,pfv,ti,,,,,,,,,,,,,,
tot l’ulɒχɔ̄leı̮ɣ.,30,0,A,V,npst,ind,,npfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
an χum ı̯omlı̮ɣtapɒs.,31,0,A,AV,pst,ind,,pfv,,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
wɔ̄r χum.lāwi:,32,0,A,AV,npst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
,33,,,,,,,,,,,,,,,,,,,,,,
-am ńɔ̄χsum manrı̮ɣ ı̯ol alaslen,34,1,AP,PxV,pst,ind,quest,pfv,,H,du,zero,act,sp,uniq,sap,A,sg,possnp,act,sp,uniq,strg
ti am ńɔ̄χsum!,35,,,,,,,,,,,,,,,,,,,,,,
"ı̯a ta, lāwi, nēn pau̯lēn nupəl l'apa, man am pau̯lŭm nupəl l'apa.",36,,,,,,,,,,,,,,,,,,,,,,
χotal' nupəl minew?,37,0,A,V,npst,ind,quest,pfv,,H,pl,zero,top,sp,max,sap,,,,,,,
tēn lāweı̮ɣ mēn pau̯lumēn saka χosa.,38,0,A,AV,npst,ind,,pfv,,H,du,pron,top,sp,uniq,strg,,,,,,,
"am pau̯lum l'apa, tuw minew, mis χum lāwi.",39,0,A,V,npst,hort,,pfv,,H,pl,zero,top,sp,max,sap,,,,,,,
tan pau̯lēn ta mineɣt.,40,0,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
"moꞩ minasət, lāwi.",41,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
"-χumı̮ɣ, nēn at ti ı̯oχtχatı̯ēn.",42,0,A,AV,npst,ind,neg,npfv,ti,H,du,pron,top,sp,uniq,sap,,,,,,,
saka laꞩalı̮ɣ ɔ̄lnēn.,43,0,A,V,npst,evid,,npfv,,H,du,zero,top,sp,uniq,sap,,,,,,,
maı̯ ti kēməl χotal' ı̯oχtew!,44,0,A,V,npst,ind,quest,pfv,,H,pl,zero,top,sp,max,sap,,,,,,,
ti èti-|mawew.,45,0,P,V,npst,ind,,npfv,ti,,,,,,,,H,pl,zero,top,sp,max,sap
tit kēr lakw ɔ̄li.,46,0,A,AV,npst,ind,,npfv,,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
akwate nupəl lāwi.,47,0,A,V,npst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"naŋ l'ul'en tı̮ɣ,",48,0,A,AV,npst,imp,,pfv,,H,sg,pron,top,sp,uniq,sap,,,,,,,
"- motane nupəl - lāwi,",49,0,A,V,npst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
am p ti palum ɔ̄s kēr lākw ɔ̄li.,50,0,A,AV,npst,ind,,npfv,,I,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
naŋ ɔ̄s tı̮ɣ l'ul'en.,51,0,A,AxV,npst,imp,,pfv,,H,sg,pron,top,sp,uniq,sap,,,,,,,
ta l'ul'sı̮ɣ.,52,0,A,V,pst,ind,,pfv,ta,H,du,zero,act,sp,uniq,strg,,,,,,,
"-anum, lāwi, ta kɔꞩ pȯχten!",53,1,A,PxV,npst,imp,,pfv,,H,du,zero,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap
"takɔ̄s pȯχtası̮ɣ, ",54,X,A,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
"mis χum ta mini, ",55,0,A,AV,npst,ind,,npfv,ta,H,sg,barenp,act,sp,uniq,strg,,,,,,,
ta totaweı̮ɣ.,56,X,P,V,npst,ind,,npfv,ta,,,,,,,,H,du,zero,act,sp,uniq,strg
"χottal' tottaweı̮ɣ, ",57,X,P,V,npst,ind,,npfv,,,,,,,,,H,du,zero,top,sp,uniq,strg
ta totaweı̮ɣ.,58,X,P,V,npst,ind,,npfv,ta,,,,,,,,H,du,zero,top,sp,uniq,strg
pal'a asanenəl nas ꞩuu̯ɣeɣt!,59,0,A,V,npst,ind,,npfv,,,,,,,,,,,,,,,
ta kem pēlpəꞩ ta mini.,60,0,A,V,npst,ind,,npfv,ta,H,sg,zero,act,sp,uniq,strg,,,,,,,
"akw ērt mānəl telum, tɔ̄rŭmnəl tēlum ı̯anı̮ɣ nāŋk ur pāl'.",61,,,,,,,,,,,,,,,,,,,,,,
ta mineɣt.,62,0,A,V,npst,ind,,npfv,ta,H,pl,zero,act,sp,max,strg,,,,,,,
"akw ērt nāŋk ur simən ı̯oχte:sət,",63,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
sat naŋk ɔ̄ltum kolna ti neı̮ɣ-|lesət.,64,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
mēŋkw kȯl.,65,,,V,,,,,,,,,,,,,,,,,,,
tuu̯ ı̯uw̯ ta ꞩaltsət.,66,0,A,V,pst,ind,,pfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
"ı̯uu̯ ꞩaltsət, ",67,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
muli pālt mēŋkw ɔ̄ı̯ka ūnli.,68,0,A,AV,npst,ind,,npfv,,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
mēŋk ɔ̄ı̯ka lāwi.,69,0,A,AV,npst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
-matər sir wɔ̄r sampa3 l'akweı̮ɣ,70,0,A,AV,npst,ind,,npfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
ti totipawesı̮ɣ.,71,X,P,V,pst,ind,,pfv,ti,,,,,,,,H,du,zero,top,sp,uniq,strg
atēn ti pāsi.,72,0,A,AV,npst,ind,,npfv,ti,I,abst,possnp,ref,nonsp,uniq,w_brdg,,,,,,,
"matər āt'i tēpı̯alasət, ",73,1,A,PV,pst,ind,,pfv,,H,pl,zero,act,sp,uniq,strg,U,abst,indefp,undef,nonsp,nuniq,nfam
ꞩaı̯ aı̯sət.,74,1,A,PV,pst,ind,,pfv,,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,ref,sp,nuniq,nfam
χuı̯ne pora ti ı̯ēmtəs.,75,0,A,AV,pst,ind,,pfv,ti,I,abst,barenp,ref,nonsp,nuniq,nfam,,,,,,,
χuı̯ne mate ꞩɔ̄pitɒs (misχum).,76,1,A,PV,pst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_prcp
"-ı̯a, lāwi, χuı̯ēn.",77,0,A,V,npst,imp,,pfv,,H,du,zero,act,sp,uniq,sap,,,,,,,
am kit palumn χuı̯ēn.,78,0,A,V,npst,imp,,pfv,,H,du,zero,top,sp,uniq,sap,,,,,,,
"anumn toχ sinı̮ɣtaχtim4 χuı̯ēn,",79,0,A,V,npst,imp,,pfv,,H,du,zero,top,sp,uniq,sap,,,,,,,
"am; lāwi, saka takɔꞩ ɔ̄ı̯awem.",80,0,P,PxV,npst,ind,,pfv,,H,sg,pron,top,sp,uniq,sap,,,,,,,
"nēn taχ pilı̯ēn, ",81,0,A,AV,fut,ind,,npfv,,H,du,pron,act,sp,uniq,sap,,,,,,,
"at ɔ̄ı̯awēn, ",82,0,P,V,npst,ind,neg,pfv,,,,,,,,,H,du,zero,top,sp,uniq,sap
χūntlēn.,83,0,A,V,npst,ind,,npfv,,H,du,zero,top,sp,uniq,sap,,,,,,,
"tı̮ɣ {ke} ı̯oχti, ",84,0,A,V,npst,irr,,pfv,,H,sg,zero,fam,sp,uniq,strg,,,,,,,
lāɣəl titt taχ malaꞩlaχti.,85,0,A,V,fut,ind,,npfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"nēnan kinsi, ",86,1,A,PV,npst,ind,,npfv,,H,sg,zero,top,sp,uniq,strg,H,du,pron,act,sp,uniq,sap
taχ anum nēn nɔŋχ tuı̯alēn.,87,1,A,PAV,fut,imp,,pfv,,H,du,pron,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap
"at ke χūlilŭm, ",88,1,AP,V,npst,irr,neg,pfv,,H,sg,zero,top,sp,uniq,sap,,,,,,,
pal' ńārɣum tou̯melēn.,89,1,AP,PV,npst,imp,,pfv,,H,du,zero,top,sp,uniq,sap,I,du,possnp,ref,sp,uniq,w_brdg
"pal' ńārɣŭm tou̯meı̯en,",90,1,A,PV,npst,ind,,pfv,,H,du,zero,top,sp,uniq,sap,I,du,possnp,top,sp,uniq,strg
"at ke χūlilŭm, ",91,1,AP,V,npst,irr,neg,pfv,,H,sg,zero,top,sp,uniq,sap,,,,,,,
"wɔ̄ŋχŭp almaı̯ēn,",92,1,A,PV,npst,imp,,pfv,,H,du,zero,act,sp,uniq,sap,I,sg,barenp,typid,nonsp,nuniq,nfam
anum wil't ı̯atta ı̯unı̮ɣte:lēn.,93,1,AP,PxV,npst,imp,,pfv,ta,H,du,zero,top,sp,uniq,sap,H,sg,pron,act,sp,uniq,sap
"χańꞩtasaɣe,",94,1,AP,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
ta χuı̯asət.,95,0,A,V,pst,ind,,pfv,ta,H,pl,zero,top,sp,uniq,strg,,,,,,,
tau̯ kit palēn ta χuı̯ası̮ɣ.,96,0,A,V,pst,ind,,pfv,ta,H,du,zero,top,sp,uniq,strg,,,,,,,
sɔ̄l' ta ɔ̄ı̯ilmatwes.,97,0,P,V,pst,ind,,pfv,ta,,,,,,,,H,sg,zero,top,sp,uniq,strg
"tēn ta χūntleı̮ɣ, ",98,0,A,AV,npst,ind,,npfv,ta,H,du,pron,act,sp,uniq,strg,,,,,,,
ı̯ola-at ɔ̄ı̯aweı̮ɣ,99,0,P,V,npst,ind,neg,pfv,,H,du,zero,top,sp,uniq,strg,,,,,,,
sɔ̄l' akw ērt ta ı̯inete suiti.,100,0,A,AV,npst,ind,,pfv,,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,
ta ı̯uu̯.,101,0,A,V,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
"tı̮ɣ ı̯oχtəs, ",102,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"ta malaꞩlaχ-|ti, ",103,0,A,V,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
kinsaweı̮ɣ.,104,X,P,V,npst,ind,,npfv,,,,,,,,,H,du,zero,act,sp,uniq,strg
"ı̯a ta ta kos kwalteı̮ɣ, ",105,X,A,V,npst,ind,,npfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
"ta kos tuı̯eı̮ɣ, ",106,X,A,V,npst,ind,,npfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
pal' ńārı̮ɣ kos tou̯malitēn.,107,1,AP,PV,npst,ind,,npfv,,H,du,zero,top,sp,uniq,strg,I,du,barenp,fam,sp,uniq,strg
āt'i. at saı̯kali.,108,0,A,V,npst,ind,neg,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
wōŋχŭp wissı̮ɣ ,109,1,A,PV,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,I,sg,barenp,fam,sp,nuniq,strg
wil't ı̯at ta ı̯uniı̮ɣtasten.,110,1,AP,PV,pst,ind,,pfv,ta,H,du,zero,act,sp,uniq,strg,I,sg,barenp,fam,sp,uniq,strg
"nɔŋχ ta roχtəs, ",111,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
ta ūntɒlmatəs.,112,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
"nɔ̄ŋχ, ūntɒlmatəs, lāwe",113,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"-t'a, āŋkwe – nɔ̄n, tii manərtit kinsi!",114,1,A,APxV,npst,ind,quest,npfv,,H,sg,demp,act,sp,uniq,strg,,,,,,,
t'a āŋkwe nɔ̄n!,115,,,,,,,,,,,,,,,,,,,,,,
"ta sāŋχwasaste,",116,1,AP,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
kol kann ta raɣatɒs.,117,0,A,V,pst,ind,,pfv,ta,H,sg,zero,act,sp,uniq,strg,,,,,,,
"-ti am konn kos minsŭm,",118,0,A,AxV,pst,ind,,npfv,,H,sg,pron,top,sp,uniq,sap,,,,,,,
konn at χɔ̄ntχateɣŭm!,119,0,A,V,npst,ind,neg,pfv,,H,sg,zero,top,sp,uniq,sap,,,,,,,
ta χuı̯eɣət ɔ̄s.,120,0,A,V,npst,ind,,pfv,ta,H,pl,zero,act,sp,uniq,strg,,,,,,,
ta χuı̯eɣət,121,0,A,V,npst,ind,,pfv,ta,H,pl,zero,top,sp,uniq,strg,,,,,,,
akwērt mēŋkw ɔ̄ı̯ka suiti.,122,0,A,AV,npst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
" - āɣikwe, ul'a tuꞩteln!",123,1,AP,PV,npst,imp,,pfv,,H,sg,barenp,ref,sp,uniq,sap,I,sg,barenp,uniq,sp,uniq,nfam
"χuntleı̮ɣ, eɣe, ",124,0,A,V,npst,ind,,npfv,,H,pl,zero,act,sp,uniq,strg,,,,,,,
sɔ̄wal loχenəl ta kwalapame suiti.,125,0,A,AV,npst,ind,,npfv,,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,
ul'a ta tuꞩtuwes.,126,X,P,PV,pst,ind,,pfv,ta,,,,,,,,I,sg,barenp,act,sp,uniq,strg
tan ɔ̄s nɔŋχ takwalsət.,127,0,A,AxV,pst,ind,,pfv,ta,H,pl,pron,act,sp,uniq,strg,,,,,,,
"nɔŋχ kwalsət, ",128,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,uniq,strg,,,,,,,
ta ɔ̄leɣt.,129,0,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,uniq,strg,,,,,,,
akw ērt ta χɔ̄tɒlɒ:s.,130,0,A,V,pst,ind,,pfv,ta,,,,,,,,,,,,,,
akw ērt m̄eŋkw ɔ̄ı̯ka lāwi:,131,0,A,AV,npst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
"āɣikwe, ı̯alen, minən, ",132,0,A,V,npst,imp,,pfv,,H,sg,barenp,fam,sp,uniq,sap,,,,,,,
lāwi:,133,0,A,V,npst,ind,,pfv,,,,,,,,,,,,,,,
"- ı̯aɣpı̮ɣan, tı̮ɣ wowen.",134,1,A,PxV,npst,imp,,pfv,,H,sg,barenp,top,sp,uniq,sap,H,pl,possnp,ref,sp,max,w_brdg
ti totimutkweı̮ɣ ti χɔ̄tal χottal' totipeı̯aɣuw.,135,1,AP,PxV,npst,ind,,pfv,,H,pl,zero,top,sp,max,sap,H,du,barenp,act,sp,uniq,strg
"ta taχas, ",136,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
ı̯aɣpı̮ɣane totuŋkwe ta taχɒs.,137,0,INF-A,PV,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
"akw ērt ti totipawesət, ",138,X,P,V,pst,ind,,pfv,ti,,,,,,,,H,pl,zero,top,sp,max,strg
ti ꞩaltlı̮ɣtasət.,139,0,A,V,pst,ind,,pfv,ti,H,pl,zero,top,sp,max,fam,,,,,,,
sāt mēŋkw.,140,,,,,,,,,,,,,,,,,,,,,,
lāweɣt:,141,0,A,V,npst,ind,,pfv,,H,pl,zero,top,sp,max,fam,,,,,,,
 -naŋ A145totamutaɣən ti χɔ̄tal maı̯ χotum wariı̯aɣuw̯,142,1,AP,PxV,npst,ind,,pfv,,H,pl,zero,top,sp,max,sap,H,du,possnp,act,sp,uniq,strg
{manau̯n} maı̯eı̯n!,143,1,AP,V,npst,imp,,pfv,,H,sg,zero,act,sp,uniq,sap,H,du,zero,top,sp,uniq,strg
mis χum lāwi,144,0,A,AV,npst,ind,,pfv,,H,sg,barenp,top,sp,uniq,sap,,,,,,,
"-atim, at mı̮ɣaɣŭm.",145,1,AP,V,npst,ind,neg,pfv,,H,sg,zero,top,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
" -āt'i, lāweɣt, ",146,0,A,V,npst,ind,,pfv,,H,pl,zero,act,sp,max,strg,,,,,,,
"man kātuu̯n pateı̯ɣ,",147,0,A,V,npst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
 tēɣaɣuw.,148,1,AP,V,npst,ind,,pfv,,H,pl,zero,top,sp,max,strg,H,du,zero,top,sp,uniq,strg
ı̯a ań ta χumı̮ɣ piluŋkwe ta patsı̮ɣ.,149,0,INF-A,APV,pst,ind,,pfv,ta,H,du,demnp,top,sp,uniq,strg,,,,,,,
ań sāt mēŋkw konn ta minasət,150,0,A,AxV,pst,ind,,pfv,ta,H,pl,barenp,act,sp,max,strg,,,,,,,
-kun ı̯irχatne kan wāruŋkwe ēri!,151,0,INF-A,AV,npst,ind,,npfv,,,,,,,,,I,sg,barenp,typid,sp,nuniq,nfam
ul'ı̯iu̯ sāɣruŋkwe ēri.,152,0,INF-A,AV,npst,ind,,npfv,,,,,,,,,I,sg,barenp,typid,sp,nuniq,nfam
kan ta wāreɣt.,153,1,A,PV,npst,ind,,npfv,ta,H,pl,zero,act,sp,max,strg,I,sg,barenp,ref,sp,uniq,strg
"kan wārsət,",154,1,A,PV,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,I,sg,barenp,top,sp,uniq,strg
ul'ı̯iu̯ sāɣresət.,155,1,A,PV,pst,ind,,pfv,,,,,,,,,I,sg,barenp,ref,sp,nuniq,strg
wārim utət nɔŋχ taɣtalawesət.,156,X,P,PV,pst,ind,,pfv,,,,,,,,,I,pl,barenp,ref,nonsp,nuniq,nfam
"an mis χum, ɔs χumı̮ɣ kon ta {kanna} wowwesət.",157,X,P,PxV,pst,ind,,pfv,,,,,,,,,H,pl,barenp,fam,sp,max,strg
"tuu̯ minasət, ",158,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
"elanuu̯ ı̯ol tuu̯ ta ūntsət, ",159,0,A,V,pst,ind,,pfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
tot ta ūnleɣt.,160,0,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
ta sunseɣt: ,161,X,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
sar manər wāreɣt.,162,1,A,PV,npst,ind,,npfv,,H,pl,zero,act,sp,max,strg,,,,,,,
akw ērt sālitti pɔ̄swesət.,163,X,P,PV,pst,ind,,pfv,ti,,,,,,,,A,pl,barenp,ref,sp,nuniq,nfam
ı̯ir sāli puw̯uŋk-|we ta patsət.,164,0,A,PV,pst,ind,,pfv,ta,,,,,,,,A,pl,barenp,ref,sp,uniq,w_prcp
