,No,Trans,Form,W-ord,Tns,Mood,SenT,Pfv,Ptcl,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
"ı̯ir sāli, sāt sāli pūwwes.",165,X,P,PV,pst,ind,,pfv,,,,,,,,,A,pl,barenp,ref,sp,uniq,w_prcp
neı̮ɣwesət.,166,X,P,V,pst,ind,,pfv,,,,,,,,,A,pl,zero,top,sp,uniq,strg
kan ōwəln tuw̯ ta neı̮ɣwesət.,167,X,P,V,pst,ind,,pfv,ta,,,,,,,,A,pl,zero,top,sp,uniq,strg
"ı̯a ta, ı̯anı̮ɣ mań pı̮-|ɣanəl saŋku̯ltaŋkwe ta pats.",168,0,INF-A,APV,pst,ind,,pfv,ta,H,sg,possnp,ref,sp,uniq,w_set,,,,,,,
ta sāŋkwəlti.,169,X,A,V,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
"mir susne χum tān ta sāŋkwəlti, ",170,1,A,PV,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,nfam
ta wow{w}awe.,171,X,P,V,npst,ind,,npfv,ta,,,,,,,,H,sg,zero,uniq,sp,uniq,w_glob
"ta tāne ɔ̄ı̯iɣpɒs,",172,0,A,AV,pst,ind,,pfv,,I,sg,possnp,act,sp,uniq,strg,,,,,,,
" ı̯ol poı̯ltaste,",173,1,AP,V,pst,ind,,pfv,,H,sg,zero,act,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
ań pupı̮ɣ ta ı̯inete suiti.,174,0,A,AV,npst,ind,,npfv,ta,I,abst,possnp,ref,sp,uniq,w_prcp,,,,,,,
"loŋańꞩap, ꞩil suiteɣt. ",175,0,A,AV,npst,ind,,npfv,,I,pl,barenp,typid,sp,nuniq,w_prcp,,,,,,,
akw ert ti neı̮ɣlapɒs.,176,0,A,V,pst,ind,,pfv,ti,H,sg,zero,act,sp,uniq,strg,,,,,,,
"ı̯oχtəs, ",177,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
kan muwɒl ta ı̯ɔ̄ŋχi.,178,0,A,V,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
sāt ꞩos ı̯ɔ̄ŋχɒs.,179,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"sāt ꞩos ı̯ɔŋχɒs,",180,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"tuwəl ńila oln āni unttuwes,",181,X,P,PV,pst,ind,,pfv,,,,,,,,,I,pl,barenp,ref,sp,uniq,w_prcp
ńila luw̯ lāɣəl = kāt mus.,182,,,,,,,,,,,,,,,,,,,,,,
ań luu̯ tuu̯ ta l'ul's.,183,0,A,AxV,pst,ind,,pfv,ta,A,sg,barenp,ref,sp,uniq,w_brdg,,,,,,,
tuu̯ ta rottumlawəs.,184,0,P,V,pst,ind,,pfv,ta,,,,,,,,A,sg,zero,top,sp,uniq,strg
"ań luu̯ sisn ńɔχs sow̯, ",185,,,,,,,,,,,,,,,,,,,,,,
"ɔχsar sou̯ tuu̯ ta χɔsɣawet, ",186,X,P,PxV,npst,ind,,npfv,ta,,,,,,,,A,pl,barenp,ref,sp,nuniq,w_prcp
tuu̯ ta tāɣatawēt.,187,X,P,V,npst,ind,,npfv,ta,,,,,,,,A,pl,zero,top,sp,nuniq,strg
M.SX tau̯ ta tāɣəltawe. ,188,X,P,PV,npst,ind,,npfv,ta,,,,,,,,H,sg,barenp,act,sp,uniq,strg
"ań taı̯ maɣəs ta sawit miwe, ",189,X,P,PV,npst,ind,,pfv,,,,,,,,,I,mass,demnp,ref,sp,nuniq,w_prcp
MSX{ta χumı̮ɣ} wos mı̮-|ɣaɣe.,190,1,AP,APV,npst,opt,,pfv,,H,sg,barenp,act,sp,uniq,strg,H,du,demnp,act,sp,uniq,strg
tau̯ luu̯ siset ta ūnli.,191,0,A,AxV,npst,ind,,npfv,ta,H,sg,pron,top,sp,uniq,strg,,,,,,,
an saŋkwəltan χum ɔs ta saŋkwəlti.,192,X,A,AxV,npst,ind,,npfv,ta+,H,sg,barenp,fam,sp,uniq,strg,,,,,,,
ta pal aꞩ u̯ou̯u̯aw̯e ,193,X,P,PV,npst,ind,,npfv,,,,,,,,,H,sg,barenp,uniq,sp,uniq,w_glob
aku̯ ert ɔ̄s ti ı̯oχtəs.,194,0,A,V,pst,ind,,pfv,ti+,H,sg,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s ta ı̯ɔŋχi.,195,0,A,V,npst,ind,,npfv,ta+,H,sg,zero,top,sp,uniq,strg,,,,,,,
kan muwal sāt ꞩos ı̯ɔ̄ŋχɒs.,196,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
an ɔ̄s oln anat ūnttuwesət.,197,X,P,PV,pst,ind,,pfv,,,,,,,,,I,pl,barenp,ref,sp,nuniq,w_prcp
luu̯e tuu̯ tu l'ul'i,198,0,A,AxV,npst,ind,,pfv,ta,A,sg,possnp,ref,sp,uniq,w_brdg,,,,,,,
l'āɣlane – kātane oln anat kiwərn tuu̯ ta l'ul's.,199,0,A,V,pst,ind,,pfv,ta,A,sg,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s ta miwe.,200,X,P,V,npst,ind,,pfv,ta+,,,,,,,,H,sg,zero,act,sp,uniq,strg
"ɔ̄s ńɔ̄χsəl, ɔ̄χsarəl taɣataw̯e.",201,X,P,V,npst,ind,,npfv,,,,,,,,,H,sg,zero,top,sp,uniq,strg
tau̯ luu̯ sis ta ūnli.,202,0,A,AxV,npst,ind,,npfv,ta,H,sg,pron,top,sp,uniq,strg,,,,,,,
tau̯ ta poı̯təltawes,203,0,P,PV,pst,ind,,pfv,ta,,,,,,,,A,sg,pron,top,sp,uniq,strg
ań saŋkwəltane χum ɔs χul' ɔ̄tər saŋkwəlti ,204,1,A,AxPV,npst,ind,,npfv,,H,sg,barenp,fam,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,w_glob
ta ti wowi.,205,0,A,V,npst,ind,,npfv,ti,H,sg,zero,top,sp,uniq,strg,,,,,,,
mana χɔ̄sa saŋkwəlti ,206,X,A,V,npst,ind,,npfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
ta nēı̯ɣlapɒs,207,0,A,V,pst,ind,,pfv,ta,H,sg,zero,act,sp,uniq,strg,,,,,,,
χurum χārəl kērim ti nēı̯ɣlapɒs.,208,0,A,V,pst,ind,,pfv,ti,H,sg,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s ti ı̯oχtəs.,209,0,A,V,pst,ind,,pfv,ti+,H,sg,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s ti ı̯ɔ̄ŋχi.,210,0,A,V,npst,ind,,npfv,ti+,H,sg,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s sāt ꞩus ı̯ɔ̄ŋχəs.,211,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
tuu̯l sune kan sis paln ńol kwalɣe,212,,,,,,,,,,,,,,,,,,,,,,
 ı̯ol ta nēɣəste.,213,1,AP,PxV,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg
mēŋkwət palt tuu̯ ta minas.,214,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
"M.SX luu̯ sisnəl ı̯ol porı̮ɣmas, ",215,0,A,AxV,pst,ind,,pfv,,H,sg,barenp,fam,sp,uniq,strg,,,,,,,
ɔ̄s tuu̯ ta minɒs.,216,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
"T.P.A.ꞩ ɔs ı̯ol porı̮ɣmas, ",217,0,A,AxV,pst,ind,,pfv,,H,sg,barenp,fam,sp,uniq,strg,,,,,,,
ɔ̄s tuu̯ ta minɒs.,218,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
akwan ūntsət,219,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,max,strg,,,,,,,
potərteɣt.,220,0,A,V,npst,ind,,npfv,,H,pl,zero,top,sp,max,strg,,,,,,,
ań χumı̮ɣ wowaweı̮ɣ.,221,X,P,PV,npst,ind,,pfv,,,,,,,,,H,du,barenp,fam,sp,uniq,strg
mēŋkwət lāweɣt ,222,0,A,AV,npst,ind,,pfv,,H,pl,barenp,act,sp,max,strg,,,,,,,
-maı̯eɣēn!,223,1,AP,V,npst,imp,,pfv,,H,pl,zero,act,sp,max,strg,H,du,zero,act,sp,uniq,strg
T.P.A. kastəl at mı̮ɣ.,224,X,A,V,npst,ind,neg,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
"at rɔ̄u̯i, lāwi, ",225,0,A,V,npst,ind,neg,npfv,,,,,,,,,,,,,,,
at mı̮ɣuu̯.,226,X,A,V,npst,ind,neg,pfv,,H,pl,zero,top,sp,max,sap,,,,,,,
M.SX. lāwi,227,0,A,AV,npst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
"-āt'im, mat pors, wos tēweı̮ɣ!",228,X,P,V,npst,opt,,pfv,,,,,,,,,H,du,zero,act,sp,uniq,strg
mı̮ɣaɣuu̯.,229,1,AP,V,npst,ind,,pfv,,H,pl,zero,act,sp,max,sap,H,du,zero,act,sp,uniq,strg
ań tan sāŋkwəltane χumı̯anəl ta sāŋkwəlti.,230,X,A,AV,npst,ind,,npfv,ta,H,sg,possnp,fam,sp,uniq,strg,,,,,,,
mis χum ɔ̄s χumı̮ɣ ēln ta ūnleɣt.,231,0,A,AxV,npst,ind,,npfv,ta,H,pl,barenp,fam,sp,max,strg,,,,,,,
"ti χūntleɣt, ",232,0,A,V,npst,ind,,npfv,ti,H,pl,zero,top,sp,max,strg,,,,,,,
manər wareɣt.,233,1,A,PV,npst,ind,,npfv,,H,pl,zero,act,sp,max,strg,U,abst,indefp,undef,nonsp,nuniq,nfam
akw ērt mis χum lāwi:,234,0,A,AV,npst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
-nēnan am {at} mı̮ɣaɣum!,235,1,AP,PAV,npst,ind,neg,pfv,,H,sg,pron,top,sp,uniq,sap,H,du,pron,act,sp,uniq,sap
man taχ matər wārew {ta warew},236,1,A,AxPV,fut,ind,,pfv,ta,H,pl,pron,top,sp,max,sap,U,abst,indefp,undef,nonsp,nuniq,nfam
uꞩa kartlaχtew.,237,0,A,V,npst,ind,,unkn,,H,pl,pron,top,sp,max,sap,,,,,,,
ań elmχolasaɣe nupəl sar lāwi:,238,0,A,V,npst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
"nēn, ɔ̄lkēn, ",239,,,,,,,,,,,,,,,,,,,,,,
pupı̮ɣ ɔ̄ńꞩiı̯en man āti?,240,1,A,PV,npst,ind,quest,npfv,,H,du,pron,top,sp,uniq,sap,H,sg,barenp,typid,nonsp,nuniq,nfam
"mēn, laweı̮ɣ, ",241,0,A,V,npst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,,,,,,,
ɔ̄ńꞩimen.,242,X,A,AV,npst,ind,,npfv,,H,du,pron,top,sp,uniq,sap,,,,,,,
-manər sir pupı̮ɣ? tēn lawi,243,,,,,,,,,,,,,,,,,,,,,,
-ı̯alpəŋ ūs ɔ̄ı̯ka.,244,,,,,,,,,,,,,,,,,,,,,,
konsəŋ āꞩ.,245,,,,,,,,,,,,,,,,,,,,,,
"χumı̮ɣ nēn ɔ̄ꞩnēn, ",246,X,A,AV,npst,evid,,npfv,,H,du,barenp,act,sp,uniq,sap,,,,,,,
wowiluw.,247,1,AP,V,npst,hort,,pfv,,H,pl,zero,top,sp,uniq,sap,H,sg,zero,act,sp,uniq,strg
"mis χum kwalupɒs, ",248,0,A,AV,pst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
saŋkwəltan mēŋkw palt ta χāı̯tɒs.,249,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
saŋkwəl- | tap ta ńartumtaste.,250,1,AP,PV,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,w_brdg
sāŋkwəltap ńartŭm tawe mus mēŋkw ta raɣatɒs.,251,0,A,AV,pst,ind,,pfv,ta,H,sg,barenp,act,sp,uniq,strg,,,,,,,
χumı̯aɣe palt tuu̯ ta minɒs.,252,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
"χumı̯aɣe palt tuu̯ ta ūntəs, ",253,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
saŋkwəlt taŋkwe ta pats.,254,0,INF-A,PV,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
J.U. ɔ̄ı̯ka ta wou̯awe.,255,X,P,PV,npst,ind,,npfv,ta,,,,,,,,H,sg,barenp,act,sp,uniq,strg
"akw ērt ūnli mēnəl,",256,,,,,,,,,,,,,,,,,,,,,,
mā toχ χosı̮ɣχatuŋkwe ta patəs.,257,0,INF-A,AxPV,pst,ind,,pfv,ta,I,mass,barenp,ref,sp,uniq,w_glob,,,,,,,
mā toχ ı̯ola=ŋɔŋχ ı̯aluŋkwe ta pats.,258,0,INF-A,AxPV,pst,ind,,pfv,ta,I,mass,barenp,ref,sp,uniq,w_glob,,,,,,,
tup χul'tɣaı̯t 13māt u̯nleɣt.,259,0,A,V,npst,ind,,npfv,,H,pl,zero,act,sp,max,strg,,,,,,,
"akw sunseɣt, ",260,X,A,V,npst,ind,,pfv,,H,pl,zero,act,sp,max,strg,,,,,,,
ta neı̮ɣlapɒs.,261,0,A,V,pst,ind,,pfv,ta,H,sg,zero,act,sp,uniq,strg,,,,,,,
tɔ̄rew χuril ta ı̯uu̯.,262,0,A,V,npst,ind,,npfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
soma tup tɔ̄rew sulinti.,263,0,A,AV,npst,ind,,npfv,,A,sg,barenp,typid,nonsp,nuniq,nfam,,,,,,,
tı̮ɣ ti ı̯oχtəs.,264,0,A,V,pst,ind,,pfv,ti,H,sg,zero,top,sp,uniq,strg,,,,,,,
kan ɔ̄wəlt ɔ̄səŋ naŋk āŋkwal l'uli.,265,0,A,AV,npst,ind,,npfv,,I,sg,barenp,ref,sp,nuniq,w_prcp,,,,,,,
mēŋkwət ı̯ow̯t ı̯a ńāl taɣatan āŋkwal.,266,,,,,,,,,,,,,,,,,,,,,,
āŋkwal titn tuu̯ ta minɒs.,267,0,A,V,pst,ind,,pfv,ta,H,sg,zero,act,sp,uniq,strg,,,,,,,
sāχitee χɔ̄t āŋχwəs ,268,1,A,PV,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg
naŋk ānkwaln nɔŋχ ta taɣataste.,269,1,AP,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
sāχite nāŋk āŋkwaln nɔŋχ taɣatame mus nāŋk āŋkwal,270,,,,,,,,,,,,,,,,,,,,,,
ı̯ol ti pati ākw.,271,0,A,AV,npst,ind,,pfv,ti,I,sg,barenp,top,sp,uniq,strg,,,,,,,
katētəl nɔŋχ ti urmı̮ɣtaste.,272,1,AP,V,pst,ind,,pfv,ti,H,sg,zero,top,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
sdfootnote14sym,273,,,,,,,,,,,,,,,,,,,,,,
nɔŋχ tuꞩtəste,274,1,AP,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 ɔs mot nupəl pati.,275,0,A,V,npst,ind,,pfv,,I,sg,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s nɔŋχ tuꞩtite.,276,1,AP,V,npst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
"-aχa, man waɣtal man āŋkal ti!",277,,,,,,,,,,,,,,,,,,,,,,
tuwəl {āŋkwale} χottal' ta rotməs,278,0,A,AxV,pst,ind,,pfv,ta,I,sg,possnp,top,sp,uniq,strg,,,,,,,
wası̮ɣ at15 pati.,279,0,A,V,npst,ind,neg,npfv,,I,sg,zero,top,sp,uniq,strg,,,,,,,
tuwəl ta minas. χumı̯ane palt,280,0,A,V,pst,ind,,pfv,ta,H,sg,zero,act,sp,uniq,strg,,,,,,,
"mis χum, ɔs mańsi palt tuu̯ta minas.",281,0,A,V,pst,ind,,pfv,ta,H,sg,zero,act,sp,uniq,strg,,,,,,,
"ań mēŋkwət, M.SX. T.P.A.",282,,,,,,,,,,,,,,,,,,,,,,
Χ.Ɔ. ti sunseɣt.,283,0,A,AV,npst,ind,,npfv,ti,H,pl,barenp,fam,sp,max,strg,,,,,,,
"tau̯ tuu̯ minas, ",284,0,A,AxV,pst,ind,,pfv,,H,sg,zero,act,sp,uniq,strg,,,,,,,
"tuu̯ ı̯oχtəs,",285,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
mis χum̄ nupəl sar lāwi:,286,0,A,V,npst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
" -ti manrı̮ɣ, lawi, χaı̯tatalne utaɣən?",287,,,,,,,,,,,,,,,,,,,,,,
lāwi,288,0,A,V,npst,ind,,pfv,,H,sg,zero,act,sp,uniq,strg,,,,,,,
-aū manrı̮ɣ totı̯aɣum.,289,1,AP,V,npst,ind,quest,npfv,,H,sg,pron,top,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
man wɔ̄rt akwan χɔ̄ntχatsuu̯.,290,0,A,AxV,pst,ind,,pfv,,H,pl,pron,top,sp,uniq,sap,,,,,,,
nɔχs alam māuu̯t.,291,,,,,,,,,,,,,,,,,,,,,,
tēn pau̯lēn nupəl χɔ̄sa am pau̯lumn tı̮ɣl'e l'apa.,292,,,,,,,,,,,,,,,,,,,,,,
tou ı̯issuu̯.,293,0,A,V,pst,ind,,pfv,,H,pl,zero,top,sp,uniq,sap,,,,,,,
l'apa tı̮ɣ!,294,,,,,,,,,,,,,,,,,,,,,,
ań tuwəl man tēŋkwe man ti marəltawesuw̯!,295,0,INF-P,PxV,pst,ind,,pfv,ti,,,,,,,,H,pl,pron,top,sp,uniq,sap
ań konsəŋ āꞩ mēŋkwət nupəl permtaχtas.,296,0,A,AxV,pst,ind,,pfv,,H,sg,barenp,act,sp,uniq,strg,,,,,,,
permtaχ- | tame mus siraı̯ ta lēı̮ɣmataste.,297,1,AP,PxV,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,w_brdg
tuu̯ siraı̯ leı̮ɣmatame porat ,298,,,,,,,,,,,,,,,,,,,,,,
"M.SX.luu̯ sisen laı̯χatɒs,",299,0,A,AxV,pst,ind,,pfv,,H,sg,barenp,fam,sp,uniq,strg,,,,,,,
T.P.A. luu̯ sisèn ɔs laı̯χatɒs.,300,0,A,AxV,pst,ind,,pfv,,H,sg,barenp,fam,sp,uniq,strg,,,,,,,
Χ.Ɔ. ńol kwalɣe ńirasɒs.,301,1,A,APV,pst,ind,,pfv,,H,sg,barenp,fam,sp,uniq,strg,I,sg,possnp,ref,sp,nuniq,nfam
sunēn ta talmatas.,302,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
ta taχasət.,303,0,A,V,pst,ind,,pfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
tup nas wonsutalsət.,304,0,A,V,pst,ind,,unkn,,H,pl,zero,top,sp,max,strg,,,,,,,
ta kēməl ta roχtasət.,305,0,A,V,pst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
"mēŋkwət, siraı̯ totı̮ɣpame mus {kot'lanenəl17} ta wotumtawesət.",306,X,P,PxV,pst,ind,,pfv,ta,,,,,,,,H,pl,barenp,fam,sp,max,strg
,307,,,,,,,,,,,,,,,,,,,,,,
ta sul'χatasət18.,308,0,A,V,pst,ind,,pfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
ań alam utanəl alasunəl,309,1,AP,PV,pst,ind,,pfv,,H,pl,possnp,top,sp,max,strg,H,pl,possnp,act,sp,uniq,strg
minamutanəl {ta} minasət.,310,0,A,AV,pst,ind,,pfv,ta,H,pl,possnp,act,sp,max,strg,,,,,,,
tankenəl ta χul'tsət,311,0,A,V,pst,ind,,npfv,ta,H,pl,pron,fam,sp,max,strg,,,,,,,
mis χum nupəl lāwi,312,0,A,V,npst,ind,,pfv,,H,sg,zero,act,sp,uniq,strg,,,,,,,
"-an, χutəl totı̮ɣlasaɣən",313,1,AP,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,H,du,zero,act,sp,uniq,strg
akw tuu̯ ı̯uu̯ = toteɣı̯n.,314,1,AP,V,npst,imp,,pfv,,H,sg,zero,top,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
"-a, lāwi tot'ı̯aɣŭm.",315,1,AP,V,npst,ind,,pfv,,H,sg,zero,top,sp,uniq,sap,H,du,zero,top,sp,uniq,strg
"takwi minas, ",316,0,A,AV,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
sāχite masɒs.,317,1,A,PV,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,fam,sp,uniq,strg
"-ɔ̄s ı̯omas ūlum, lāwi.",318,,,V,,,,,,,,,,,,,,,,,,,
-am mineɣŭm.,319,0,A,AV,npst,ind,,pfv,,H,sg,pron,top,sp,uniq,sap,,,,,,,
ta minas.,320,0,A,V,pst,ind,,pfv,ta,H,sg,zero,top,sp,uniq,strg,,,,,,,
mol χotal χotəl ı̯alɒs.,321,0,A,V,pst,ind,,pfv,,H,sg,zero,top,sp,uniq,strg,,,,,,,
os tɔ̄rew χuril ɔ̄s ta minas.,322,0,A,V,pst,ind,,pfv,ta+,H,sg,zero,top,sp,uniq,strg,,,,,,,
tup tɔ̄rew sulintɒs,323,0,A,V,pst,ind,,npfv,,A,sg,barenp,top,sp,uniq,strg,,,,,,,
"ta χumı̯aɣe χotəl tatı̮ɣlasaɣe,",324,1,AP,PxV,pst,ind,,pfv,,H,sg,zero,act,sp,uniq,strg,H,du,barenp,act,sp,uniq,strg
"ńɔχəs alam mānəln, tuu̯ tatotsaɣe.",325,1,AP,V,pst,ind,,pfv,ta,H,sg,zero,act,sp,uniq,strg,H,du,zero,top,sp,uniq,strg
"-ań, lāwi, minēn, ı̯uu̯.",326,0,A,V,npst,imp,,pfv,,H,du,zero,top,sp,uniq,sap,,,,,,,
ań pāu̯lēn χɔ̄ntχatı̯en.,327,0,A,PV,npst,ind,,pfv,,H,du,zero,top,sp,uniq,sap,,,,,,,
"mēn, laweı̮ɣ, χɔ̄ntχatimēn ",328,0,A,AV,npst,ind,,pfv,,H,du,pron,top,sp,uniq,sap,,,,,,,
χottal' kit nupəl ta minasət.,329,0,A,V,pst,ind,,pfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
ań kit māt ta ɔ̄leɣt,330,0,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,
ań ta ꞩuńeɣt.,331,0,A,V,npst,ind,,npfv,ta,H,pl,zero,top,sp,max,strg,,,,,,,